cultivo,anio,mes,grupo,superficie_sembrada_ha,superficie_cosechada_ha,produccion_t,rendimiento_kg_ha,precio_chacra_soles_kg,precipitacion_mm,temp_max_c,temp_min_c
alfalfa,2023,6,B,,,13698.890000000001,,0.38730488382635364,0.0046049840933191505,25.625561616376636,9.91502079657103
alfalfa,2023,7,B,,,13552.17,,0.3631352027018551,0.0059933842761166495,24.576227965695217,9.570422931188329
alfalfa,2023,8,B,,,13663.650000000001,,0.3286345595796145,0.0028811690102011995,25.53867602564971,9.637504522840342
alfalfa,2023,9,B,,,13647.759999999998,,0.3288309143771579,0.0054668615984405,27.214289666811922,10.348455904937417
alfalfa,2023,10,B,,,14975.76,,0.32807756668109,0.0010604647354310998,28.768127396279702,11.397505622455661
alfalfa,2023,11,B,,,14977.92,,0.33204466975387764,0.00226729921410765,29.699171256039094,12.761856445020438
alfalfa,2023,12,B,,,14831.74,,0.3338445118374513,0.008152268678215351,30.936590266283257,14.912426984240518
algodon,2020,1,A,32.0,,1432.7899999999997,,2.688134478883856,0.0672821744716048,31.97127306004451,16.892591757252685
algodon,2020,2,A,39.5,,505.7,,2.710815107771405,0.06510014539852604,32.8914658459493,17.667667703696974
algodon,2020,3,A,89.5,,2198.23,,2.94502386010563,0.0423774813895781,33.01318304507825,17.14057441741253
algodon,2020,4,A,519.5,,2794.75,,2.962632972537793,0.00244555424990205,31.55768280174722,14.813744153904292
algodon,2020,5,A,671.5,,2463.629,,2.890936934903754,0.0022125351157609,28.782242610184774,11.549609665921906
algodon,2020,6,A,151.25,,950.89,,2.8864166202189527,0.0046049840933191505,25.625561616376636,9.91502079657103
algodon,2020,7,A,771.4,,208.3,,2.721814690350456,0.0059933842761166495,24.576227965695217,9.570422931188329
algodon,2020,8,A,385.5,,10.4,,2.82,0.0028811690102011995,25.53867602564971,9.637504522840342
algodon,2020,9,A,931.5,,28.229,,2.4999999999999996,0.0054668615984405,27.214289666811922,10.348455904937417
algodon,2020,10,A,2163.75,,75.33,,2.590787202973583,0.0010604647354310998,28.768127396279702,11.397505622455661
algodon,2020,11,A,389.0,,130.129,,3.0103087705277076,0.00226729921410765,29.699171256039094,12.761856445020438
algodon,2020,12,A,46.0,,350.27000000000004,,3.091224483969509,0.008152268678215351,30.936590266283257,14.912426984240518
algodon,2021,1,A,32.0,,685.96,,3.816905358913056,0.0672821744716048,31.97127306004451,16.892591757252685
algodon,2021,2,A,39.5,,379.52000000000004,,4.171683442242834,0.06510014539852604,32.8914658459493,17.667667703696974
algodon,2021,3,A,89.5,,660.5699999999999,,4.6678656311973,0.0423774813895781,33.01318304507825,17.14057441741253
algodon,2021,4,A,519.5,,2753.9999999999995,,4.614883079157589,0.00244555424990205,31.55768280174722,14.813744153904292
algodon,2021,5,A,671.5,,1574.549,,4.550469162915857,0.0022125351157609,28.782242610184774,11.549609665921906
algodon,2021,6,A,151.25,,405.08000000000004,,4.9989987163029515,0.0046049840933191505,25.625561616376636,9.91502079657103
algodon,2021,7,A,771.4,,193.08,,5.082338926869691,0.0059933842761166495,24.576227965695217,9.570422931188329
algodon,2021,8,A,385.5,,37.849999999999994,,6.5067635402906205,0.0028811690102011995,25.53867602564971,9.637504522840342
algodon,2021,9,A,931.5,,71.15,,5.560401967673928,0.0054668615984405,27.214289666811922,10.348455904937417
algodon,2021,10,A,2163.75,,61.290000000000006,,5.697335617555882,0.0010604647354310998,28.768127396279702,11.397505622455661
algodon,2021,11,A,389.0,,87.442,,5.540010063813729,0.00226729921410765,29.699171256039094,12.761856445020438
algodon,2021,12,A,46.0,,456.62000000000006,,5.973516709736762,0.008152268678215351,30.936590266283257,14.912426984240518
algodon,2022,1,A,14.5,,905.17,,6.408747528088645,0.0672821744716048,31.97127306004451,16.892591757252685
algodon,2022,2,A,45.0,,408.37,,6.54723216690746,0.06510014539852604,32.8914658459493,17.667667703696974
algodon,2022,3,A,180.6,,2617.2000000000003,,6.643323399052421,0.0423774813895781,33.01318304507825,17.14057441741253
algodon,2022,4,A,97.0,,5229.7,,6.642757366579346,0.00244555424990205,31.55768280174722,14.813744153904292
algodon,2022,5,A,296.0,,3242.8,,6.836706272357222,0.0022125351157609,28.782242610184774,11.549609665921906
algodon,2022,6,A,138.0,,3125.45,,6.849081860212129,0.0046049840933191505,25.625561616376636,9.91502079657103
algodon,2022,7,A,781.0,,150.7,,6.850000000000001,0.0059933842761166495,24.576227965695217,9.570422931188329
algodon,2022,8,A,268.5,,11.03,,5.4564007252946505,0.0028811690102011995,25.53867602564971,9.637504522840342
algodon,2022,9,A,973.0,,40.85,,4.89,0.0054668615984405,27.214289666811922,10.348455904937417
algodon,2022,10,A,334.0,,8.16,,4.659999999999999,0.0010604647354310998,28.768127396279702,11.397505622455661
algodon,2022,11,A,279.0,,136.64,,3.548902224824356,0.00226729921410765,29.699171256039094,12.761856445020438
algodon,2022,12,A,46.0,,431.75,,3.618897510133179,0.008152268678215351,30.936590266283257,14.912426984240518
algodon,2023,1,A,32.0,,1431.59,,3.387664834205325,0.0672821744716048,31.97127306004451,16.892591757252685
algodon,2023,2,A,20.0,,1411.59,,3.3634711920600173,0.06510014539852604,32.8914658459493,17.667667703696974
algodon,2023,3,A,163.0,,2855.59,,3.209610133107344,0.0423774813895781,33.01318304507825,17.14057441741253
algodon,2023,4,A,371.5,,5555.16,,3.306464170248921,0.00244555424990205,31.55768280174722,14.813744153904292
algodon,2023,5,A,583.5,,5269.32,,3.2856171194765165,0.0022125351157609,28.782242610184774,11.549609665921906
algodon,2023,6,A,82.0,,3372.02,,3.243552351409539,0.0046049840933191505,25.625561616376636,9.91502079657103
algodon,2023,7,A,1079.0,,843.7,,3.0420208604954366,0.0059933842761166495,24.576227965695217,9.570422931188329
algodon,2023,10,A,2367.0,,29.47,,2.9305327451645744,0.0010604647354310998,28.768127396279702,11.397505622455661
algodon,2023,11,A,248.0,,53.309999999999995,,3.1698574376289628,0.00226729921410765,29.699171256039094,12.761856445020438
