anio,cultivo,superficie_sembrada_ha,superficie_cosechada_ha,produccion_t,rendimiento_kg_ha,precio_chacra_soles_kg,precipitacion_mm_prom_ica,temp_max_c_prom_ica,temp_min_c_prom_ica
2021,Frijol seco,403.0,394.0,720.6979999999999,1829.182741116751,5.217154342040634,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Frijol seco,305.0,301.0,538.03,1787.4750830564783,5.2931806776573795,0.017523053420288478,29.24518545226556,13.02798579572429
2023,Frijol seco,453.0,457.0,819.04,1792.2100656455143,5.940891775737449,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Frijol verde,15.0,15.0,67.03,4468.666666666667,2.5,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Frijol verde,6.0,6.0,27.92,4653.333333333333,2.6944842406876783,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Frijol verde,12.0,12.0,62.94,5245.0,3.1352081347314904,0.017523053420288478,29.24518545226556,13.02798579572429
2023,Frijol verde,6.0,6.0,29.8,4966.666666666667,3.2474832214765104,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Garbanzo,189.5,189.5,291.839,1540.0474934036938,3.6406254818581476,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Garbanzo,71.0,71.0,126.7,1784.5070422535211,5.07817679558011,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Garbanzo,44.0,44.0,55.82,1268.6363636363635,5.821927624507344,0.017523053420288478,29.24518545226556,13.02798579572429
2023,Garbanzo,276.5,276.5,510.59000000000003,1846.618444846293,5.727961769717386,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Grama azul,,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
